20211003074433,1633272273,10.2.1.3,0.600
20211003074434,1633272274,10.2.1.3,0.148
20211003074435,1633272275,10.2.1.3,0.217
20211003074436,1633272276,10.2.1.3,0.148
20211003074437,1633272277,10.2.1.3,0.158
20211003074438,1633272278,10.2.1.3,0.154
20211003074439,1633272279,10.2.1.3,0.188
20211003074440,1633272280,10.2.1.3,0.216
20211003074441,1633272281,10.2.1.3,0.195
20211003074442,1633272282,10.2.1.3,0.194
20211003074443,1633272283,10.2.1.3,0.156
20211003074444,1633272284,10.2.1.3,0.149
20211003074445,1633272285,10.2.1.3,0.152
20211003074446,1633272286,10.2.1.3,0.181
20211003074447,1633272287,10.2.1.3,0.155
20211003074448,1633272288,10.2.1.3,0.192
20211003074449,1633272289,10.2.1.3,0.155
20211003074450,1633272290,10.2.1.3,0.198
20211003074451,1633272291,10.2.1.3,0.162
20211003074452,1633272292,10.2.1.3,0.160
20211003074453,1633272293,10.2.1.3,0.214
20211003074454,1633272294,10.2.1.3,0.192
20211003074455,1633272295,10.2.1.3,0.157
20211003074456,1633272296,10.2.1.3,0.154
20211003074457,1633272297,10.2.1.3,0.151
20211003074458,1633272298,10.2.1.3,0.160
20211003074459,1633272299,10.2.1.3,0.185
20211003074500,1633272300,10.2.1.3,0.206
20211003074501,1633272301,10.2.1.3,0.159
20211003074502,1633272302,10.2.1.3,0.159
20211003074503,1633272303,10.2.1.3,0.157
20211003074504,1633272304,10.2.1.3,0.198
20211003074505,1633272305,10.2.1.3,0.159
20211003074506,1633272306,10.2.1.3,0.165
20211003074507,1633272307,10.2.1.3,0.165
20211003074508,1633272308,10.2.1.3,0.161
20211003074509,1633272309,10.2.1.3,0.208
20211003074510,1633272310,10.2.1.3,0.158
20211003074511,1633272311,10.2.1.3,0.162
20211003074512,1633272312,10.2.1.3,0.153
20211003074513,1633272313,10.2.1.3,0.157
20211003074514,1633272314,10.2.1.3,0.156
20211003074515,1633272315,10.2.1.3,0.399
20211003074516,1633272316,10.2.1.3,0.155
20211003074517,1633272317,10.2.1.3,0.155
20211003074518,1633272318,10.2.1.3,0.153
20211003074519,1633272319,10.2.1.3,0.161
20211003074520,1633272320,10.2.1.3,0.155
20211003074521,1633272321,10.2.1.3,0.160
20211003074522,1633272322,10.2.1.3,0.158
20211003074523,1633272323,10.2.1.3,0.193
20211003074524,1633272324,10.2.1.3,0.181
20211003074525,1633272325,10.2.1.3,0.153
20211003074526,1633272326,10.2.1.3,0.159
20211003074527,1633272327,10.2.1.3,0.156
20211003074528,1633272328,10.2.1.3,0.161
20211003074529,1633272329,10.2.1.3,0.160
20211003074530,1633272330,10.2.1.3,0.159
20211003074531,1633272331,10.2.1.3,0.231
20211003074532,1633272332,10.2.1.3,0.159
20211003074533,1633272333,10.2.1.3,0.160
20211003074534,1633272334,10.2.1.3,0.157
20211003074535,1633272335,10.2.1.3,0.159
20211003074536,1633272336,10.2.1.3,0.160
20211003074537,1633272337,10.2.1.3,0.158
20211003074538,1633272338,10.2.1.3,0.154
20211003074539,1633272339,10.2.1.3,0.162
20211003074540,1633272340,10.2.1.3,0.201
20211003074541,1633272341,10.2.1.3,0.223
20211003074542,1633272342,10.2.1.3,0.161
20211003074543,1633272343,10.2.1.3,0.160
20211003074544,1633272344,10.2.1.3,0.191
20211003074545,1633272345,10.2.1.3,0.156
20211003074546,1633272346,10.2.1.3,0.156
20211003074547,1633272347,10.2.1.3,0.178
20211003074548,1633272348,10.2.1.3,0.236
20211003074549,1633272349,10.2.1.3,0.152
20211003074550,1633272350,10.2.1.3,0.155
20211003074551,1633272351,10.2.1.3,0.236
20211003074552,1633272352,10.2.1.3,0.188
20211003074553,1633272353,10.2.1.3,0.157
20211003074554,1633272354,10.2.1.3,0.159
20211003074555,1633272355,10.2.1.3,0.192
20211003074556,1633272356,10.2.1.3,0.219
20211003074557,1633272357,10.2.1.3,0.184
20211003074558,1633272358,10.2.1.3,0.158
20211003074559,1633272359,10.2.1.3,0.218
20211003074600,1633272360,10.2.1.3,0.205
20211003074601,1633272361,10.2.1.3,0.157
20211003074602,1633272362,10.2.1.3,0.159
20211003074603,1633272363,10.2.1.3,0.158
20211003074604,1633272364,10.2.1.3,0.158
20211003074605,1633272365,10.2.1.3,0.158
20211003074606,1633272366,10.2.1.3,0.155
20211003074607,1633272367,10.2.1.3,0.164
20211003074608,1633272368,10.2.1.3,0.160
20211003074609,1633272369,10.2.1.3,0.165
20211003074610,1633272370,10.2.1.3,0.191
20211003074611,1633272371,10.2.1.3,0.153
20211003074612,1633272372,10.2.1.3,0.190
